source,issue_area,issue,issue_stance,stance_partisanship
gpt-4o,Economy and Jobs,Cost of living crisis and inflation,"The U.K. should increase investment in vocational training programs to address skill shortages, even if it requires reallocating funds from other educational areas.  ",Neutral/Bipartisan
gpt-4o,Economy and Jobs,Housing affordability and mortgage rates,"The U.K. should incentivize private investment in housing construction to increase supply, even if this means offering tax breaks to developers.  ",Conservative
gpt-4o,Economy and Jobs,Public sector pay and strikes,"The U.K. should implement a cap on public sector pay increases to help control government spending, even if this leads to prolonged strikes.  ",Conservative
gpt-4o,Economy and Jobs,Regional economic inequality,"The U.K. should increase investment in infrastructure projects in economically deprived regions, even if it requires reallocating funds from other areas.  ",Labour
gpt-4o,Economy and Jobs,Zero-hours contracts and gig economy,"The U.K. should regulate zero-hours contracts to ensure job security and predictable income for workers, even if it limits employer flexibility.  ",Labour
gpt-4o,Economy and Jobs,Small business support post-pandemic,"The U.K. should provide tax incentives for small businesses to encourage job creation, even if this reduces government revenue in the short term.  ",Conservative
gpt-4o,Healthcare,NHS funding and waiting times,"The U.K. should increase NHS funding through higher taxes, even if this means reducing public spending in other areas.  ",Labour
gpt-4o,Healthcare,Private healthcare integration,"The U.K. should increase funding for the NHS to reduce waiting times, even if this requires raising taxes.  ",Labour
gpt-4o,Healthcare,Mental health service provision,"The U.K. should increase funding for mental health services within the NHS, even if this requires reallocating resources from other healthcare areas.  ",Labour
gpt-4o,Healthcare,Healthcare staff shortages,"The U.K. should increase funding for healthcare worker training programs, even if it requires reallocating resources from other sectors.  ",Labour
gpt-4o,Healthcare,Preventive care and public health,"The U.K. should prioritize funding for preventive health screenings and vaccinations, even if it requires reallocating resources from other healthcare areas.  ",Neutral/Bipartisan
gpt-4o,Healthcare,Social care reform and funding,"The U.K. should increase funding for social care services through higher taxes, even if this means higher costs for taxpayers.  ",Labour
gpt-4o,Education,University tuition fees and student debt,"The U.K. should maintain university tuition fees at their current levels to ensure financial sustainability for higher education institutions, even if this means some students accrue significant debt.  ",Conservative
gpt-4o,Education,School funding and resources,"The U.K. should increase funding for public schools to ensure equal access to quality education for all students, even if it requires raising taxes.  ",Labour
gpt-4o,Education,Teacher recruitment and retention,"The U.K. should increase teacher salaries to attract more graduates to the profession, even if it requires reallocating funds from other education initiatives.  ",Labour
gpt-4o,Education,Vocational education and skills,"The U.K. should increase funding for vocational education programs, even if it requires reallocating resources from traditional academic subjects.  ",Neutral/Bipartisan
gpt-4o,Education,Early years provision and childcare costs,"The U.K. should increase government funding for early years education to ensure universal access to affordable childcare, even if it requires higher taxes.  ",Labour
gpt-4o,Education,Educational inequality and social mobility,"The U.K. should increase funding for vocational training programs in disadvantaged areas, even if this requires cuts to other educational initiatives.  ",Neutral/Bipartisan
gpt-4o,Foreign Policy,Relations with China,"The U.K. should strengthen economic ties with China to boost trade, even if this requires compromising on certain human rights issues.  ",Neutral/Bipartisan
gpt-4o,Foreign Policy,Support for Ukraine,"The U.K. should increase military aid to Ukraine, even if it requires reallocating funds from domestic programs.  ",Neutral/Bipartisan
gpt-4o,Foreign Policy,Post-Brexit international trade,"The U.K. should prioritize trade deals with Commonwealth countries, even if this means slower progress on agreements with the EU.  ",Conservative
gpt-4o,Foreign Policy,NATO commitments and defense cooperation,"The U.K. should increase its defense spending to meet NATO's 2% GDP target, even if this requires reallocating funds from other public services.  ",Conservative
gpt-4o,Foreign Policy,Relations with the EU,"The U.K. should negotiate a new trade agreement with the EU that prioritizes British industries, even if it means accepting some regulatory divergence.  ",Conservative
gpt-4o,Foreign Policy,Global influence and soft power,"The U.K. should prioritize trade agreements with Commonwealth countries, even if it means reducing focus on European markets.  ",Conservative
gpt-4o,National Security and Defence,Defense spending and modernization,"The U.K. should increase defense spending to ensure military readiness, even if it requires reallocating funds from other public services.  ",Conservative
gpt-4o,National Security and Defence,Cyber security and digital threats,"The U.K. should increase investment in cyber defense infrastructure, even if this requires reallocating funds from other areas of national defense.  ",Neutral/Bipartisan
gpt-4o,National Security and Defence,Terrorism and extremism,"The U.K. should increase funding for counter-terrorism operations, even if it requires reallocating resources from other public services.  ",Conservative
gpt-4o,National Security and Defence,Military recruitment and retention,"The U.K. should increase military recruitment incentives to bolster national security, even if it requires reallocating funds from other public services.  ",Conservative
gpt-4o,National Security and Defence,Intelligence sharing agreements,"The U.K. should prioritize intelligence sharing agreements with the Five Eyes alliance, even if it means limiting cooperation with non-member countries.  ",Neutral/Bipartisan
gpt-4o,National Security and Defence,Nuclear deterrent renewal,"The U.K. should renew its nuclear deterrent program to ensure national security, even if it requires significant financial investment.  ",Conservative
gpt-4o,Immigration,Asylum system reform,"The U.K. should streamline the asylum application process to reduce waiting times, even if this requires additional resources and staffing.  ",Labour
gpt-4o,Immigration,Legal immigration pathways,"The U.K. should streamline the visa application process for skilled workers, even if it means increasing administrative costs.  ",Neutral/Bipartisan
gpt-4o,Immigration,Border control measures,"The U.K. should increase funding for border security technology, even if it requires reallocating resources from other public services.  ",Conservative
gpt-4o,Immigration,Skilled worker visas,"The U.K. should increase the cap on skilled worker visas to attract more talent, even if it means loosening immigration controls.  ",Neutral/Bipartisan
gpt-4o,Immigration,Refugee resettlement programs,"The U.K. should prioritize resettling refugees who possess skills that are in demand in the economy, even if this means fewer places for those without such skills.  ",Conservative
gpt-4o,Immigration,Immigration impact on public services,"The U.K. should increase funding for public services to accommodate the growing population due to immigration, even if it requires higher taxes.  ",Labour
gpt-4o,Climate Change and Environment,Net zero targets and implementation,"The U.K. should prioritize investment in nuclear energy as part of its Net Zero strategy, even if this requires significant upfront costs.  ",Neutral/Bipartisan
gpt-4o,Climate Change and Environment,Green energy transition,"The U.K. should prioritize investment in nuclear energy as part of its green energy strategy, even if it requires significant upfront costs.  ",Neutral/Bipartisan
gpt-4o,Climate Change and Environment,Air pollution and clean air zones,"The U.K. should implement more clean air zones in urban areas, even if this requires increased funding for enforcement and monitoring.  ",Labour
gpt-4o,Climate Change and Environment,Flooding and coastal defense,"The U.K. should invest in advanced flood defense infrastructure to protect coastal communities, even if it requires significant public expenditure.  ",Neutral/Bipartisan
gpt-4o,Climate Change and Environment,Biodiversity and wildlife protection,"The U.K. should incentivize private landowners to create and maintain wildlife habitats, even if this requires significant public funding.  ",Neutral/Bipartisan
gpt-4o,Climate Change and Environment,Green jobs and skills,"The U.K. should focus on expanding renewable energy sectors like wind and solar to create green jobs, even if this requires significant government subsidies.  ",Labour
gpt-4o,Criminal Justice and Law Enforcement,Police funding and numbers,"The U.K. should increase police funding to ensure adequate resources for law enforcement, even if it requires reallocating funds from other public services.  ",Conservative
gpt-4o,Criminal Justice and Law Enforcement,Crime prevention and community safety,"The U.K. should increase funding for police forces to enhance community safety, even if this requires reallocating resources from other public services.  ",Conservative
gpt-4o,Criminal Justice and Law Enforcement,Prison reform and rehabilitation,"The U.K. should increase funding for prison education programs to reduce recidivism, even if it requires reallocating resources from other areas.  ",Labour
gpt-4o,Criminal Justice and Law Enforcement,Court backlogs and legal aid,"The U.K. should increase funding for legal aid to ensure access to justice for all, even if it requires raising taxes.  ",Labour
gpt-4o,Criminal Justice and Law Enforcement,Drug policy reform,"The U.K. should increase penalties for drug trafficking to deter organized crime, even if it leads to overcrowding in prisons.  ",Conservative
gpt-4o,Criminal Justice and Law Enforcement,Anti-social behavior,"The U.K. should increase police presence in high-crime areas to deter anti-social behavior, even if it requires reallocating resources from other public services.  ",Conservative
gpt-4o,Taxes and Government Spending,Income tax rates and thresholds,"The U.K. should lower income tax rates to encourage economic growth, even if it reduces short-term government revenue.  ",Conservative
gpt-4o,Taxes and Government Spending,Corporation tax policy,"The U.K. should maintain the current corporation tax rate to encourage investment and economic growth, even if it means reduced tax revenue in the short term.  ",Conservative
gpt-4o,Taxes and Government Spending,Public sector spending,"The U.K. should increase funding for public healthcare services, even if this requires raising taxes on higher income earners.  ",Labour
gpt-4o,Taxes and Government Spending,National debt management,"The U.K. should reduce government spending to lower the national debt, even if this means cutting funding for public services.  ",Conservative
gpt-4o,Taxes and Government Spending,Council tax reform,"The U.K. should cap Council tax increases to protect homeowners from rising costs, even if this limits local government revenue.  ",Conservative
gpt-4o,Taxes and Government Spending,Infrastructure investment,"The U.K. should increase infrastructure spending on public transport, even if it requires higher taxes on corporations.  ",Labour
gpt-4o,Civil Rights,Protest rights and public order,"The U.K. should increase police powers to disperse protests that significantly disrupt public order, even if this limits the duration of peaceful assemblies.  ",Conservative
gpt-4o,Civil Rights,Online safety and free speech,"The U.K. should implement stricter online age verification measures to protect children, even if it requires users to provide more personal information.  ",Conservative
gpt-4o,Civil Rights,Equality legislation,"The U.K. should ensure that equality legislation protects religious freedoms, even if it means allowing certain organizations to opt out of specific equality mandates.  ",Conservative
gpt-4o,Civil Rights,Privacy and surveillance,"The U.K. should expand the use of facial recognition technology in public spaces, even if it raises concerns about individual privacy.  ",Neutral/Bipartisan
gpt-4o,Civil Rights,Religious freedom,"The U.K. should ensure that public institutions accommodate religious dress codes, even if this requires adjustments to existing uniform policies.  ",Labour
gpt-4o,Civil Rights,Discrimination protections,"The U.K. should enhance anti-discrimination laws to include protections for gender identity, even if it requires businesses to update their policies and practices.  ",Labour
gpt-4o,Democratic Institutions,Electoral reform,"The U.K. should maintain the first-past-the-post electoral system, even if it results in disproportionate representation for smaller parties.  ",Conservative
gpt-4o,Democratic Institutions,Lobbying and political influence,"The U.K. should implement stricter regulations on lobbying activities to ensure transparency, even if it increases administrative burdens on businesses.  ",Labour
gpt-4o,Democratic Institutions,Devolution and local powers,"The U.K. should grant more fiscal autonomy to local governments, even if it results in varying levels of public services across regions.  ",Neutral/Bipartisan
gpt-4o,Democratic Institutions,Parliamentary standards,"The U.K. should implement stricter regulations on lobbying activities in Parliament, even if it limits access for smaller interest groups.  ",Neutral/Bipartisan
gpt-4o,Democratic Institutions,Party funding reform,"The U.K. should implement a cap on individual donations to political parties, even if this limits the influence of high-net-worth individuals.  ",Labour
gpt-4o,Democratic Institutions,Voter ID requirements,"The U.K. should require voter ID at polling stations, even if it means some people may find it harder to vote.  ",Conservative
gpt-4o,Housing and Planning,Housing supply and construction,"The U.K. should relax planning regulations to allow more housing development in rural areas, even if it alters the character of these communities.  ",Conservative
gpt-4o,Housing and Planning,Planning system reform,"The U.K. should streamline the planning approval process to reduce bureaucratic delays, even if this means less community input in decision-making.  ",Conservative
gpt-4o,Housing and Planning,Private rental sector regulation,"The U.K. should increase regulations on landlords to ensure fair treatment of tenants, even if this discourages some investment in the rental market.  ",Labour
gpt-4o,Housing and Planning,Social housing provision,"The U.K. should prioritize the construction of affordable social housing on public land, even if it reduces the availability of land for commercial development.  ",Labour
gpt-4o,Housing and Planning,Building safety standards,"The U.K. should streamline building regulations to encourage faster housing development, even if this means reducing some safety standards.  ",Conservative
gpt-4o,Housing and Planning,Local infrastructure development,"The U.K. should prioritize the development of affordable housing on brownfield sites, even if it requires significant government subsidies.  ",Labour
gpt-4o,Technology and Digital,Digital infrastructure,"The U.K. should prioritize investment in rural broadband infrastructure to ensure nationwide connectivity, even if it requires reallocating funds from urban projects.  ",Neutral/Bipartisan
gpt-4o,Technology and Digital,AI regulation and ethics,"The U.K. should incentivize AI innovation through tax breaks for tech companies, even if this results in reduced tax revenue in the short term.  ",Conservative
gpt-4o,Technology and Digital,Online harm prevention,"The U.K. should implement stricter age verification requirements for accessing online content, even if it means additional costs for digital platforms.  ",Neutral/Bipartisan
gpt-4o,Technology and Digital,Data protection and privacy,"The U.K. should prioritize national security by allowing government access to encrypted communications, even if this compromises individual privacy.  ",Conservative
gpt-4o,Technology and Digital,Digital skills gap,"The U.K. should increase investment in digital skills training for young people, even if it requires reallocating funds from other educational programs.  ",Neutral/Bipartisan
gpt-4o,Technology and Digital,Tech sector competition,"The U.K. should implement stricter regulations on tech giants to prevent monopolistic practices, even if it leads to increased compliance costs for these companies.  ",Labour
gpt-4o,Energy and Utilities,Energy price regulation,"The U.K. should implement a cap on energy prices to protect consumers from sudden spikes, even if this requires government subsidies to energy companies.  ",Labour
gpt-4o,Energy and Utilities,Renewable energy investment,"The U.K. should increase subsidies for renewable energy projects, even if this requires higher taxes to fund the initiatives.  ",Labour
gpt-4o,Energy and Utilities,Nuclear power development,"The U.K. should expand its nuclear power capacity to ensure energy security, even if it requires significant government investment.  ",Neutral/Bipartisan
gpt-4o,Energy and Utilities,Energy security,"The U.K. should prioritize domestic natural gas production to enhance energy security, even if this involves expanding fracking operations.  ",Conservative
gpt-4o,Energy and Utilities,Water infrastructure,"The U.K. should invest in modernizing its water infrastructure to prevent leaks and improve efficiency, even if this requires significant public funding.  ",Neutral/Bipartisan
gpt-4o,Energy and Utilities,Utility market competition,"The U.K. should increase competition in the energy market by reducing regulatory barriers for new entrants, even if this means established companies face more challenges.  ",Conservative
gpt-4o,Transport,Public transport funding,"The U.K. should increase funding for public transport infrastructure projects, even if it requires raising taxes.  ",Labour
gpt-4o,Transport,Rail infrastructure and services,"The U.K. should prioritize investment in high-speed rail networks to improve connectivity and reduce travel times, even if this requires significant public expenditure.  ",Labour
gpt-4o,Transport,Road maintenance and development,"The U.K. should prioritize road maintenance funding over public transport projects, even if this means delaying the expansion of train and bus services.  ",Conservative
gpt-4o,Transport,Electric vehicle infrastructure,"The U.K. should prioritize building electric vehicle charging stations in rural areas, even if this requires significant government subsidies.  ",Labour
gpt-4o,Transport,Regional connectivity,"The U.K. should invest in expanding high-speed rail networks to improve regional connectivity, even if it requires significant public funding.  ",Labour
gpt-4o,Transport,Transport decarbonization,"The U.K. should invest in expanding electric vehicle charging infrastructure, even if it requires significant public spending.  ",Neutral/Bipartisan
gpt-4o,Economy and Jobs,Cost of living crisis and inflation,"The U.K. should reduce public sector spending to lower national debt, even if it results in fewer public services.  ",Conservative
gpt-4o,Economy and Jobs,Housing affordability and mortgage rates,"The U.K. should implement stricter regulations on mortgage lending to prevent housing bubbles, even if this limits access to credit for some buyers.  ",Neutral/Bipartisan
gpt-4o,Economy and Jobs,Public sector pay and strikes,"The U.K. should increase funding for public sector pay to match inflation, even if it requires higher taxes.  ",Labour
gpt-4o,Economy and Jobs,Regional economic inequality,"The U.K. should lower business taxes in struggling regions to incentivize job creation, even if it reduces government revenue in the short term.  ",Conservative
