q,mode,strategy,n_req_mean,n_req_lo95,n_req_hi95,rel_to_q0
0.0,none,FACT,89487,84692,94203,1.0
0.0,none,SOCR,91724,86339,97287,1.0
0.0,none,COMG,87924,81972,93767,1.0
0.0,none,SRCT,91498,86366,97472,1.0
0.0,none,EMPA,90742,85197,95815,1.0
0.0,none,REBT,3518,3462,3581,1.0
0.0,none,CLAIM,91238,86091,96412,1.0
0.0,none,META,91572,86399,97282,1.0
0.05,symmetric,FACT,83505,78545,88555,0.933
0.05,symmetric,SOCR,84635,79009,90675,0.923
0.05,symmetric,COMG,81551,75596,86993,0.928
0.05,symmetric,SRCT,84576,79101,89133,0.924
0.05,symmetric,EMPA,84081,77670,90161,0.927
0.05,symmetric,REBT,3704,3640,3768,1.053
0.05,symmetric,CLAIM,85056,79138,90586,0.932
0.05,symmetric,META,84626,78961,90542,0.924
0.05,absorbing,FACT,91263,86454,96226,1.02
0.05,absorbing,SOCR,92699,87284,98047,1.011
0.05,absorbing,COMG,89027,83813,93993,1.013
0.05,absorbing,SRCT,92415,86956,98581,1.01
0.05,absorbing,EMPA,92065,86678,97015,1.015
0.05,absorbing,REBT,3483,3434,3542,0.99
0.05,absorbing,CLAIM,92697,87244,98213,1.016
0.05,absorbing,META,92786,87721,97488,1.013
0.1,symmetric,FACT,77134,70496,82630,0.862
0.1,symmetric,SOCR,78535,72859,84507,0.856
0.1,symmetric,COMG,75786,70616,81407,0.862
0.1,symmetric,SRCT,78712,71627,84782,0.86
0.1,symmetric,EMPA,78708,73131,84943,0.867
0.1,symmetric,REBT,3915,3844,3989,1.113
0.1,symmetric,CLAIM,78928,72556,84801,0.865
0.1,symmetric,META,78688,72641,84281,0.859
0.1,absorbing,FACT,92297,86489,97601,1.031
0.1,absorbing,SOCR,93834,89038,98568,1.023
0.1,absorbing,COMG,90467,84062,95573,1.029
0.1,absorbing,SRCT,93751,88422,98968,1.025
0.1,absorbing,EMPA,93823,88876,98705,1.034
0.1,absorbing,REBT,3443,3399,3498,0.979
0.1,absorbing,CLAIM,93786,88470,99174,1.028
0.1,absorbing,META,94041,88272,99210,1.027
0.2,symmetric,FACT,67032,60928,72441,0.749
0.2,symmetric,SOCR,67874,61538,73356,0.74
0.2,symmetric,COMG,66025,60619,72223,0.751
0.2,symmetric,SRCT,67974,62676,74143,0.743
0.2,symmetric,EMPA,67770,62060,73678,0.747
0.2,symmetric,REBT,4398,4294,4502,1.25
0.2,symmetric,CLAIM,68496,62344,74457,0.751
0.2,symmetric,META,67750,62095,73108,0.74
0.2,absorbing,FACT,95026,89818,100162,1.062
0.2,absorbing,SOCR,96362,90798,101292,1.051
0.2,absorbing,COMG,93173,88029,98025,1.06
0.2,absorbing,SRCT,96543,91354,101924,1.055
0.2,absorbing,EMPA,95997,91449,101924,1.058
0.2,absorbing,REBT,3374,3328,3425,0.959
0.2,absorbing,CLAIM,96348,91416,101571,1.056
0.2,absorbing,META,96366,91005,100888,1.052
