n,delta,design,reps,common_tau,rmse,bias,coverage,coverage_mcse,explored,cum_loss
10000,0.1,uniform,200,0.15473418787564264,0.1015088194412979,0.005832904249392534,0.925,0.015411035007422441,100.87,50.21759529703915
10000,0.1,optimal,200,0.15473418787564264,0.10231897401550885,-0.01422107382525506,0.94,0.015411035007422441,133.665,44.83133525437492
10000,0.1,ctx_temperature,200,0.15473418787564264,0.10203903207948806,0.018716545064820123,0.93,0.015411035007422441,131.91,44.48192711343577
10000,0.1,common_temperature,200,0.15473418787564264,0.10635502146943619,-0.001244380646796328,0.92,0.015411035007422441,1072.485,194.58486000161744
100000,0.05623413251903491,uniform,200,0.1280585077453318,0.05529914150656199,-0.005043630569758983,0.955,0.015411035007422441,316.885,158.48812206317217
100000,0.05623413251903491,optimal,200,0.1280585077453318,0.05621520643403119,2.4093457287710507e-05,0.95,0.015411035007422441,420.93,140.52970462661796
100000,0.05623413251903491,ctx_temperature,200,0.1280585077453318,0.05116389885187574,0.0010754490288840124,0.935,0.015411035007422441,421.715,140.7053542057522
100000,0.05623413251903491,common_temperature,200,0.1280585077453318,0.058146799348928385,0.0017766323878396495,0.955,0.015411035007422441,8872.3,1343.2151841037878
1000000,0.03162277660168379,uniform,200,0.10968574680939226,0.03250999640192036,-0.0002699615859211857,0.95,0.015411035007422441,1002.645,501.46065633340606
1000000,0.03162277660168379,optimal,200,0.10968574680939226,0.031762732506546605,-0.002577584643161712,0.95,0.015411035007422441,1332.735,445.9395820775797
1000000,0.03162277660168379,ctx_temperature,200,0.10968574680939226,0.03433361877666437,0.0002906341657409328,0.92,0.015411035007422441,1331.975,442.2994100911965
1000000,0.03162277660168379,common_temperature,200,0.10968574680939226,0.02982556284431485,0.0004435424044486602,0.95,0.015411035007422441,76029.24,9882.096424773108
